# This data was collected and compiled at the NASA/Ames Research Center, Moffett Field, CA.  Any use of this data should recognize the parent publication:

# D.M. Hudgins, S.A. Sandford, L.J. Allamandola, and A.G.G.M. Tielens, "Mid- and Far-Infrared Spectroscopy of Ices: Optical Constants and Integrated Absorbances", The Astrophysical Journal Supplement Series, 86, no. 2, p. 713-870, 1993

# H2O - 10 K
# http://www.astrochem.org/data/H2O.php

Freq.	%T,10K	Freq. 	n, 10K	k, 10K
#(cm-1)			(cm-1)
497.67	95.639	944.71	1.1089	0.059700
498.64	95.619	946.63	1.1119	0.056800
499.60	95.575	948.56	1.1147	0.053900
500.56	95.535	950.49	1.1172	0.051100
501.53	95.559	952.42	1.1192	0.048300
502.49	95.551	954.35	1.1221	0.043000
503.46	95.432	956.28	1.1258	0.040300
504.42	95.474	958.21	1.1295	0.037700
505.39	95.404	960.14	1.1324	0.037400
506.35	95.391	962.07	1.1344	0.034700
507.31	95.371	964.00	1.1369	0.032100
508.28	95.408	965.92	1.1394	0.029500
509.24	95.344	967.85	1.1423	0.026900
510.21	95.330	969.78	1.1454	0.024400
511.17	95.317	971.71	1.1489	0.021800
512.14	95.253	973.64	1.1518	0.021700
513.10	95.196	975.57	1.1542	0.019200
514.07	95.126	977.50	1.1575	0.016700
515.03	95.169	979.43	1.1605	0.016600
516.00	95.149	981.36	1.1633	0.014200
516.96	95.097	983.28	1.1660	0.014000
517.92	95.128	985.21	1.1687	0.011600
518.89	95.120	987.14	1.1714	0.011500
519.85	94.901	989.07	1.1742	0.0091000
520.82	95.043	991.00	1.1773	0.0089999
521.78	95.079	992.93	1.1794	0.0089000
522.75	95.122	994.86	1.1820	0.0065000
523.71	94.952	996.79	1.1850	0.0064000
524.68	94.939	998.72	1.1876	0.0063000
525.64	94.937	1000.6	1.1894	0.0062000
526.60	94.923	1002.6	1.1914	0.0060000
527.57	94.910	1004.5	1.1934	0.0037000
528.53	94.840	1006.4	1.1961	0.0036000
529.50	94.789	1008.4	1.1986	0.0035000
530.46	94.825	1010.3	1.2006	0.0034000
531.43	94.818	1012.2	1.2025	0.0032001
532.39	94.748	1014.1	1.2042	0.0031000
533.36	94.790	1016.1	1.2059	0.0030000
534.32	94.733	1018.0	1.2071	0.0028000
535.29	94.725	1019.9	1.2088	0.00059998
536.25	94.756	1021.9	1.2113	0.00049996
537.21	94.648	1023.8	1.2132	0.00030005
538.18	94.634	1025.7	1.2149	0.00020003
539.14	94.583	1027.7	1.2163	0.00010002
540.11	94.619	1029.6	1.2182	0.0000
541.07	94.650	1031.5	1.2207	0.0000
542.04	94.592	1033.4	1.2228	0.0000
543.00	94.534	1035.4	1.2247	0.0000
543.96	94.477	1037.3	1.2264	0.0000
544.93	94.507	1039.2	1.2281	0.0000
545.89	94.450	1041.2	1.2297	0.0000
546.86	94.436	1043.1	1.2313	0.0000
547.82	94.429	1045.0	1.2328	0.0000
548.79	94.359	1046.9	1.2342	0.0000
549.75	94.401	1048.9	1.2357	0.0000
550.72	94.338	1050.8	1.2370	0.0000
551.68	94.380	1052.7	1.2384	0.0000
552.65	94.267	1054.7	1.2397	0.0000
553.61	94.303	1056.6	1.2410	0.0000
554.57	94.245	1058.5	1.2422	0.0000
555.54	94.188	1060.4	1.2434	0.0000
556.50	94.174	1062.4	1.2446	0.0000
557.47	94.161	1064.3	1.2457	0.0000
558.43	94.153	1066.2	1.2466	0.0000
559.40	94.146	1068.2	1.2483	0.0000
560.36	94.132	1070.1	1.2501	0.0000
561.33	94.068	1072.0	1.2508	0.0000
562.29	94.061	1073.9	1.2518	0.0000
563.26	94.041	1075.9	1.2529	0.0000
564.22	93.984	1077.8	1.2539	0.0000
565.18	93.964	1079.7	1.2549	0.0000
566.15	93.900	1081.7	1.2559	0.0000
567.11	93.837	1083.6	1.2569	0.0000
568.08	93.885	1085.5	1.2579	0.0000
569.04	93.816	1087.4	1.2589	0.0000
570.01	93.858	1089.4	1.2599	0.0000
570.97	93.800	1091.3	1.2609	0.0000
571.94	93.787	1093.2	1.2619	0.0000
572.90	93.717	1095.2	1.2629	0.0000
573.86	93.648	1097.1	1.2639	0.0000
574.83	93.640	1099.0	1.2651	0.0000
575.79	93.626	1101.0	1.2655	0.0017999
576.76	93.563	1102.9	1.2658	0.0000
577.72	93.549	1104.8	1.2670	0.0000
578.69	93.542	1106.7	1.2680	0.0000
579.65	93.472	1108.7	1.2690	0.0000
580.62	93.458	1110.6	1.2700	0.00010002
581.58	93.389	1112.5	1.2709	0.00010002
582.54	93.331	1114.5	1.2720	0.00010002
