# This data was collected and compiled at the NASA/Ames Research Center, Moffett Field, CA.  Any use of this data should recognize the parent publication:

# D.M. Hudgins, S.A. Sandford, L.J. Allamandola, and A.G.G.M. Tielens, "Mid- and Far-Infrared Spectroscopy of Ices: Optical Constants and Integrated Absorbances", The Astrophysical Journal Supplement Series, 86, no. 2, p. 713-870, 1993

# Interstellar mix - 10 K - H2O:CH3OH:CO:NH3 = 100:50:1:1
# http://www.astrochem.org/data/ISMix.php

Freq.	%T,10K	n, 10K	k, 10K
#(cm-1)
286.45	98.248	1.3667	0.088873
287.41	98.332	1.3669	0.084284
288.38	98.318	1.3694	0.084578
289.34	98.353	1.3707	0.082460
290.31	98.224	1.3710	0.088660
291.27	98.258	1.3665	0.086915
292.24	98.392	1.3662	0.079934
293.20	98.459	1.3676	0.076266
294.17	98.461	1.3700	0.075797
295.13	98.447	1.3698	0.076258
296.09	98.531	1.3699	0.071869
297.06	98.533	1.3718	0.071454
298.02	98.584	1.3726	0.068702
298.99	98.537	1.3736	0.070720
299.95	98.605	1.3730	0.067234
300.92	98.607	1.3737	0.066891
301.88	98.707	1.3745	0.061849
302.85	98.676	1.3767	0.063047
303.81	98.711	1.3770	0.061172
304.77	98.713	1.3773	0.060877
305.74	98.781	1.3789	0.057418
306.70	98.767	1.3800	0.057858
307.67	98.752	1.3804	0.058364
308.63	98.804	1.3798	0.055781
309.60	98.838	1.3809	0.053991
310.56	98.890	1.3820	0.051386
311.53	98.859	1.3833	0.052615
312.49	98.910	1.3831	0.050118
313.46	98.912	1.3839	0.049850
314.42	98.996	1.3849	0.045847
315.38	98.965	1.3859	0.047086
316.35	99.017	1.3870	0.044566
317.31	98.986	1.3869	0.045834
318.28	99.070	1.3873	0.041916
319.24	99.088	1.3882	0.040967
320.21	99.123	1.3895	0.039259
321.17	99.142	1.3901	0.038289
322.14	99.160	1.3908	0.037364
323.10	99.228	1.3915	0.034251
324.06	99.246	1.3928	0.033341
325.03	99.298	1.3946	0.030943
325.99	99.267	1.3952	0.032192
326.96	99.351	1.3961	0.028451
327.92	99.353	1.3971	0.028269
328.89	99.437	1.3991	0.024559
329.85	99.390	1.4003	0.026478
330.82	99.457	1.4011	0.023544
331.78	99.476	1.4021	0.022663
332.74	99.543	1.4036	0.019759
333.71	99.546	1.4057	0.019555
334.67	99.564	1.4065	0.018744
335.64	99.615	1.4079	0.016556
336.60	99.650	1.4094	0.015050
337.57	99.701	1.4117	0.012890
338.53	99.687	1.4133	0.013418
339.50	99.738	1.4148	0.011289
340.46	99.740	1.4161	0.011170
341.42	99.841	1.4182	0.0070424
342.39	99.810	1.4208	0.0082629
343.35	99.861	1.4227	0.0061884
344.32	99.847	1.4245	0.0067258
345.28	99.914	1.4264	0.0040400
346.25	99.916	1.4289	0.0039444
347.21	99.951	1.4313	0.0025516
348.18	99.937	1.4335	0.0030918
349.14	99.972	1.4355	0.0017147
350.11	99.990	1.4381	0.0010080
351.07	99.996	1.4407	0.00076890
352.03	100.00	1.4434	0.00060987
353.00	99.961	1.4453	0.0020986
353.96	100.00	1.4473	0.00060129
354.93	99.974	1.4496	0.0015805
355.89	99.998	1.4520	0.00066233
356.86	99.939	1.4540	0.0028780
357.82	99.962	1.4555	0.0020015
358.79	99.936	1.4572	0.0029604
359.75	99.992	1.4596	0.00085449
360.71	99.934	1.4623	0.0029907
361.68	99.908	1.4641	0.0039325
362.64	99.882	1.4654	0.0048723
363.61	99.889	1.4671	0.0045896
364.57	99.879	1.4693	0.0049274
365.54	99.821	1.4709	0.0070131
366.50	99.827	1.4722	0.0067668
367.47	99.785	1.4736	0.0082555
368.43	99.808	1.4752	0.0073876
369.40	99.750	1.4769	0.0094337
370.36	99.757	1.4784	0.0091419
371.32	99.698	1.4796	0.011211
372.29	99.721	1.4812	0.010342
373.25	99.662	1.4827	0.012389
374.22	99.653	1.4841	0.012655
375.18	99.594	1.4849	0.014693
376.15	99.601	1.4858	0.014392
377.11	99.575	1.4869	0.015250
378.08	99.566	1.4883	0.015503
379.04	99.540	1.4896	0.016346
380.00	99.497	1.4905	0.017785
