# This data was collected and compiled at the NASA/Ames Research Center, Moffett Field, CA.  Any use of this data should recognize the parent publication:

# D.M. Hudgins, S.A. Sandford, L.J. Allamandola, and A.G.G.M. Tielens, "Mid- and Far-Infrared Spectroscopy of Ices: Optical Constants and Integrated Absorbances", The Astrophysical Journal Supplement Series, 86, no. 2, p. 713-870, 1993

# Interstellar mix - 10 K - H2O:CH3OH:CO:NH3 = 100:10:1:1
# http://www.astrochem.org/data/ISMix.php

Freq.	%T,10K	n, 10K	k, 10K
#(cm-1)
291.27	93.347	1.4070	0.080267
292.24	93.350	1.4102	0.079685
293.20	93.386	1.4111	0.077636
294.17	93.406	1.4131	0.076319
295.13	93.425	1.4131	0.075162
296.09	93.527	1.4140	0.070006
297.06	93.546	1.4165	0.068762
298.02	93.615	1.4180	0.065216
298.99	93.585	1.4196	0.066349
299.95	93.687	1.4197	0.061359
300.92	93.707	1.4216	0.060157
301.88	93.824	1.4233	0.054481
302.85	93.811	1.4263	0.054794
303.81	93.864	1.4276	0.052147
304.77	93.883	1.4288	0.051077
305.74	93.968	1.4310	0.046985
306.70	93.988	1.4330	0.045871
307.67	94.007	1.4347	0.044824
308.63	94.076	1.4357	0.041569
309.60	94.129	1.4381	0.039015
310.56	94.197	1.4407	0.035818
311.53	94.168	1.4429	0.036928
312.49	94.253	1.4441	0.033060
313.46	94.256	1.4460	0.032785
314.42	94.374	1.4481	0.027519
315.38	94.361	1.4507	0.027944
316.35	94.430	1.4531	0.024849
317.31	94.433	1.4549	0.024613
318.28	94.518	1.4571	0.020888
319.24	94.554	1.4598	0.019260
320.21	94.590	1.4625	0.017646
321.17	94.626	1.4649	0.016053
322.14	94.645	1.4671	0.015183
323.10	94.730	1.4696	0.011587
324.06	94.750	1.4726	0.010696
325.03	94.819	1.4760	0.0078001
325.99	94.789	1.4785	0.0089717
326.96	94.891	1.4813	0.0047870
327.92	94.894	1.4846	0.0046203
328.89	94.979	1.4885	0.0011706
329.85	94.933	1.4921	0.0029666
330.82	95.000	1.4953	0.00027514
331.78	94.976	1.4987	0.0011885
332.74	95.030	1.5021	0.0000
333.71	95.010	1.5060	0.0000
334.67	95.000	1.5090	0.00014305
335.64	95.010	1.5121	0.0000
336.60	94.999	1.5150	0.00011873
337.57	95.040	1.5186	0.0000
338.53	94.965	1.5218	0.0013251
339.50	94.989	1.5244	0.00038004
340.46	94.932	1.5268	0.0024948
341.42	95.000	1.5296	0.0000
342.39	94.931	1.5328	0.0024264
343.35	94.955	1.5356	0.0014827
344.32	94.881	1.5382	0.0041752
345.28	94.921	1.5406	0.0026460
346.25	94.864	1.5435	0.0046780
347.21	94.871	1.5460	0.0043600
348.18	94.814	1.5487	0.0063689
349.14	94.789	1.5505	0.0072188
350.11	94.796	1.5530	0.0068917
351.07	94.755	1.5555	0.0082889
352.03	94.746	1.5580	0.0085285
353.00	94.672	1.5601	0.011096
353.96	94.696	1.5622	0.010158
354.93	94.622	1.5645	0.012689
355.89	94.646	1.5669	0.011740
356.86	94.539	1.5692	0.015407
357.82	94.547	1.5707	0.015036
358.79	94.473	1.5725	0.017527
359.75	94.514	1.5746	0.015980
360.71	94.423	1.5772	0.019014
361.68	94.382	1.5789	0.020321
362.64	94.340	1.5802	0.021666
363.61	94.315	1.5821	0.022399
364.57	94.290	1.5840	0.023122
365.54	94.200	1.5858	0.026067
366.50	94.191	1.5868	0.026260
367.47	94.133	1.5884	0.028092
368.43	94.141	1.5900	0.027679
369.40	94.050	1.5920	0.030593
370.36	94.042	1.5934	0.030719
371.32	93.951	1.5945	0.033642
372.29	93.959	1.5961	0.033211
373.25	93.885	1.5973	0.035537
374.22	93.876	1.5992	0.035651
375.18	93.786	1.6003	0.038493
376.15	93.761	1.6015	0.039156
377.11	93.719	1.6023	0.040396
378.08	93.694	1.6041	0.041018
379.04	93.637	1.6056	0.042707
380.00	93.562	1.6063	0.045016
380.97	93.554	1.6076	0.045084
381.93	93.496	1.6086	0.046805
382.90	93.471	1.6105	0.047387
383.86	93.364	1.6109	0.050712
384.83	93.372	1.6120	0.050251
385.79	93.298	1.6127	0.052471
386.76	93.305	1.6145	0.051997
387.72	93.198	1.6157	0.055233
388.68	93.173	1.6162	0.055857
389.65	93.099	1.6174	0.058002
390.61	93.091	1.6179	0.058077
391.58	93.017	1.6196	0.060176
392.54	92.975	1.6199	0.061334
393.51	92.917	1.6213	0.062923
394.47	92.860	1.6212	0.064570
395.44	92.851	1.6227	0.064587
396.40	92.777	1.6235	0.066698
397.36	92.752	1.6243	0.067256
398.33	92.645	1.6255	0.070362
399.29	92.653	1.6255	0.069931
400.26	92.562	1.6269	0.072493
